timestamp_utc,city,temperature_c,feels_like_c,humidity_percent,pressure_hpa,wind_speed_m_s,weather_main,weather_description
1765730334,Riyadh,17.84,17.04,52,1018,5.59,Clear,clear sky
1765731960,Riyadh,17.84,17.04,52,1018,5.59,Clear,clear sky
1765731960,Riyadh,17.84,17.04,52,1018,5.59,Clear,clear sky
1765731960,Riyadh,17.84,17.04,52,1018,5.59,Clear,clear sky
1765735441,Riyadh,17.29,16.41,51,1018,5.87,Clouds,few clouds
1765735441,Riyadh,17.29,16.41,51,1018,5.87,Clouds,few clouds
1765736767,Riyadh,17.22,16.36,52,1018,5.87,Clouds,few clouds
1765751361,Riyadh,15.89,14.97,55,1016,7.51,Clouds,broken clouds
1765751361,Riyadh,15.89,14.97,55,1016,7.51,Clouds,broken clouds
1765751361,Riyadh,15.89,14.97,55,1016,7.51,Clouds,broken clouds
1765778649,Riyadh,14.83,14.3,74,1018,6.43,Rain,light rain
1765778649,Riyadh,14.83,14.3,74,1018,6.43,Rain,light rain
1765778649,Riyadh,14.83,14.3,74,1018,6.43,Rain,light rain
1765783332,Riyadh,15.61,15.11,72,1018,5.89,Clouds,overcast clouds
1765783332,Riyadh,15.61,15.11,72,1018,5.89,Clouds,overcast clouds
1765783332,Riyadh,15.61,15.11,72,1018,5.89,Clouds,overcast clouds
1765784923,Riyadh,16.97,16.47,67,1017,5.06,Rain,moderate rain
1765784923,Riyadh,16.97,16.47,67,1017,5.06,Rain,moderate rain
1765800691,Riyadh,16.6,16.46,82,1015,2.5,Clouds,overcast clouds
1765800691,Riyadh,16.6,16.46,82,1015,2.5,Clouds,overcast clouds
1765800691,Riyadh,16.6,16.46,82,1015,2.5,Clouds,overcast clouds
1765818861,Riyadh,15.25,14.87,78,1015,5.2,Clouds,scattered clouds
1765818861,Riyadh,15.25,14.87,78,1015,5.2,Clouds,scattered clouds
1765818861,Riyadh,15.25,14.87,78,1015,5.2,Clouds,scattered clouds
1765818861,Riyadh,15.25,14.87,78,1015,5.2,Clouds,scattered clouds
1765838430,Riyadh,12.91,12.63,91,1014,3.77,Clouds,scattered clouds
1765838430,Riyadh,12.91,12.63,91,1014,3.77,Clouds,scattered clouds
1765838430,Riyadh,12.91,12.63,91,1014,3.77,Clouds,scattered clouds
1765840595,Riyadh,12.89,12.64,92,1014,3.77,Clouds,scattered clouds
1765840595,Riyadh,12.89,12.64,92,1014,3.77,Clouds,scattered clouds
1765886555,Riyadh,18.6,18.16,63,1011,1.2,Rain,light rain
1765886555,Riyadh,18.6,18.16,63,1011,1.2,Rain,light rain
1765886555,Riyadh,18.6,18.16,63,1011,1.2,Rain,light rain
1765889100,Riyadh,18.65,18.24,64,1010,2.22,Rain,light rain
1765889100,Riyadh,18.65,18.24,64,1010,2.22,Rain,light rain
1765893917,Riyadh,18.78,18.28,60,1011,1.41,Clear,clear sky
1765893917,Riyadh,18.78,18.28,60,1011,1.41,Clear,clear sky
1765904405,Riyadh,17.29,16.75,64,1012,3.97,Clouds,scattered clouds
1765915830,Riyadh,15.29,14.96,80,1012,1.62,Clouds,scattered clouds
1765915830,Riyadh,15.29,14.96,80,1012,1.62,Clouds,scattered clouds
1765915830,Riyadh,15.29,14.96,80,1012,1.62,Clouds,scattered clouds
1765918348,Riyadh,15.3,14.82,74,1012,1.96,Clouds,few clouds
1765918348,Riyadh,15.3,14.82,74,1012,1.96,Clouds,few clouds
1765918348,Riyadh,15.3,14.82,74,1012,1.96,Clouds,few clouds
1765952799,Riyadh,15.41,14.78,68,1016,1.64,Clear,clear sky
1765952799,Riyadh,15.41,14.78,68,1016,1.64,Clear,clear sky
1765952799,Riyadh,15.41,14.78,68,1016,1.64,Clear,clear sky
1765958173,Riyadh,17.03,16.04,48,1015,1.86,Clear,clear sky
